go_id	go	gene_id
GB41668	GO:0006397	LOC408501
GB41670	GO:0016021	LOC410566
GB41670	GO:0055085	LOC410566
GB41671	GO:0016021	LOC724294
GB41672	GO:0004675	LOC408442
GB41672	GO:0004702	LOC408442
GB41672	GO:0005524	LOC408442
GB41672	GO:0016021	LOC408442
GB41674	GO:0000166	LOC551446
GB41674	GO:0003676	LOC551446
GB41674	GO:0008270	LOC551446
GB41677	GO:0004001	LOC408441
GB41677	GO:0006166	LOC408441
GB41680	GO:0004402	LOC724159
GB41680	GO:0005634	LOC724159
GB41680	GO:0006355	LOC724159
GB41680	GO:0008270	LOC724159
GB41681	GO:0005086	LOC727312
GB41681	GO:0032012	LOC727312
GB41684	GO:0004672	LOC413286
GB41684	GO:0005524	LOC413286
GB41686	GO:0005742	Tom7
GB41686	GO:0016021	Tom7
GB41686	GO:0030150	Tom7
GB41688	GO:0006511	LOC410565
GB41688	GO:0031461	LOC410565
GB41693	GO:0003677	LOC410571
GB41693	GO:0003917	LOC410571
GB41693	GO:0005694	LOC410571
GB41693	GO:0006265	LOC410571
GB41693	GO:0008270	LOC410571
GB41694	GO:0006629	LOC410570
GB41695	GO:0000981	LOC727284
GB41697	GO:0016021	LOC408503
GB41698	GO:0016021	LOC410563
GB41704	GO:0005622	LOC727232
GB41704	GO:0016021	LOC727232
GB41704	GO:0035556	LOC727232
GB41704	GO:0046872	LOC727232
